model,train_dataset,corruption,severity,n,accuracy,ece,aurc,sel_acc_70
llavaov,pathvqa,jpeg_compression,3,2060,0.7344660194174757,0.06862168816758521,0.1833931257111688,0.7905686546463245
llavaov,pathvqa,downscale_upscale,1,2060,0.7572815533980582,0.07387851458800758,0.1699879485032846,0.8120665742024965
llavaov,pathvqa,downscale_upscale,2,2060,0.753883495145631,0.07844213316815911,0.17296522319968705,0.8079056865464632
llavaov,pathvqa,downscale_upscale,3,2060,0.7519417475728155,0.07246169260707484,0.16876485856989465,0.8099861303744799
smolvlm,vqa_rad,clean,0,122,0.8278688524590164,0.08048807473348948,0.10965887267164265,0.872093023255814
smolvlm,vqa_rad,gaussian_noise,1,122,0.819672131147541,0.14593001146567866,0.11795004251411503,0.8604651162790697
smolvlm,vqa_rad,gaussian_noise,2,122,0.8032786885245902,0.12234453271417078,0.1334897546498438,0.8255813953488372
smolvlm,vqa_rad,gaussian_noise,3,122,0.7377049180327869,0.11859282048036887,0.16903495195492377,0.813953488372093
smolvlm,vqa_rad,gaussian_blur,1,122,0.8442622950819673,0.11549537239670797,0.10913828637382117,0.872093023255814
smolvlm,vqa_rad,gaussian_blur,2,122,0.7868852459016393,0.10456147070707392,0.1469743269488487,0.8372093023255814
smolvlm,vqa_rad,gaussian_blur,3,122,0.7295081967213115,0.1330838769891861,0.14924041279916858,0.8023255813953488
smolvlm,vqa_rad,motion_blur,1,122,0.819672131147541,0.10915442670125734,0.1352561122377824,0.8604651162790697
smolvlm,vqa_rad,motion_blur,2,122,0.7786885245901639,0.11913905140582007,0.175253652347557,0.813953488372093
smolvlm,vqa_rad,motion_blur,3,122,0.7295081967213115,0.19655264046598211,0.21922007942806002,0.7558139534883721
smolvlm,vqa_rad,brightness_shift,1,122,0.819672131147541,0.14107484814893173,0.1118492898135763,0.872093023255814
smolvlm,vqa_rad,brightness_shift,2,122,0.7704918032786885,0.12780268211736412,0.13839596476940533,0.8255813953488372
smolvlm,vqa_rad,brightness_shift,3,122,0.7704918032786885,0.1434714691362738,0.16442056752591241,0.8023255813953488
smolvlm,vqa_rad,contrast_shift,1,122,0.7868852459016393,0.09055535897316169,0.11194305760802228,0.8837209302325582
smolvlm,vqa_rad,contrast_shift,2,122,0.7868852459016393,0.1452666589516717,0.12932669516259274,0.8488372093023255
smolvlm,vqa_rad,contrast_shift,3,122,0.7950819672131147,0.14365424427263196,0.13492611425044196,0.8023255813953488
smolvlm,vqa_rad,jpeg_compression,1,122,0.819672131147541,0.09169839289583831,0.09618234887718746,0.8953488372093024
smolvlm,vqa_rad,jpeg_compression,2,122,0.8032786885245902,0.0936919862254417,0.11180399920777552,0.8837209302325582
smolvlm,vqa_rad,jpeg_compression,3,122,0.7622950819672131,0.11830516467297617,0.13017202047175577,0.813953488372093
smolvlm,vqa_rad,downscale_upscale,1,122,0.819672131147541,0.09545096925792575,0.10581878907759645,0.8953488372093024
smolvlm,vqa_rad,downscale_upscale,2,122,0.8114754098360656,0.1155015261973876,0.10452817475603449,0.8604651162790697
smolvlm,vqa_rad,downscale_upscale,3,122,0.7704918032786885,0.13967550018961794,0.15244928676508443,0.813953488372093
smolvlm,slake_en,clean,0,357,0.6778711484593838,0.1842161013630904,0.20874002022409843,0.744
smolvlm,slake_en,gaussian_noise,1,357,0.680672268907563,0.1745203454782893,0.21369241750272125,0.736
smolvlm,slake_en,gaussian_noise,2,357,0.6834733893557423,0.18219467650972598,0.215999883608502,0.724
